Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
JONES RD,1,0,0,City of Memphis,False,30.0,2
N DANNY THOMAS BLVD,1,0,0,TDOT state route,False,35.0,3
MCREE ST,1,0,0,City of Memphis,False,30.0,2
HORN LAKE RD,1,0,0,City of Memphis,False,40.0,5
S COOPER ST,1,0,0,City of Memphis,False,30.0,2
HACKS CROSS RD,1,0,0,City of Memphis,False,45.0,7
GILLHAM DR,1,0,0,City of Memphis,False,30.0,2
N WALNUT BEND RD,1,0,0,City of Memphis,False,30.0,2
JULIAN CT,1,0,0,City of Memphis,False,30.0,2
S AUBURNDALE ST,1,0,0,City of Memphis,False,30.0,2
BEVERLY HILL ST,1,0,0,City of Memphis,False,30.0,2
BAYLISS AVE,1,0,0,City of Memphis,False,35.0,2
S MCNEIL ST,1,0,1,City of Memphis,False,30.0,2
W BROOKS RD,1,0,1,City of Memphis,False,35.0,4
S BARKSDALE ST,1,0,0,City of Memphis,False,30.0,2
FOREST VIEW DR,1,0,0,City of Memphis,False,30.0,2
N COOPER ST,1,0,0,City of Memphis,False,35.0,4
MCGREGOR AVE,1,0,0,City of Memphis,False,30.0,2
HAVEN CT,1,0,0,City of Memphis,False,30.0,2
COLONY PARK DR,1,0,0,City of Memphis,False,30.0,2
MCMILLAN ST,1,0,0,City of Memphis,False,30.0,2
CHEVRON RD,1,0,1,City of Memphis,False,35.0,2
FOX RIDGE DR,1,0,0,City of Memphis,False,30.0,2
BROWNLEE RD,1,0,0,City of Memphis,False,35.0,2
ARROWHEAD AVE,1,0,1,City of Memphis,False,30.0,2
BERTA RD,1,0,0,City of Memphis,False,35.0,2
SCHEIBLER RD,1,0,1,City of Memphis,False,35.0,2
N GRAHAM ST,1,0,0,City of Memphis,False,40.0,5
WINFIELD AVE,1,0,0,City of Memphis,False,35.0,2
CAMELOT LN,1,0,1,City of Memphis,False,30.0,2
FROSTY MEADOW DR,1,0,0,City of Memphis,False,30.0,2
BELLBRANCH DR,1,0,0,City of Memphis,False,30.0,2
COURT AVE,1,0,0,City of Memphis,False,30.0,2
MCADOO AVE,1,0,0,City of Memphis,False,30.0,2
EMILY AVE,1,0,1,City of Memphis,False,30.0,2
HODGE RD,1,0,1,City of Memphis,False,30.0,2
HERMITAGE DR,1,0,0,City of Memphis,False,35.0,2
BRISTER ST,1,0,0,City of Memphis,False,30.0,2
PONTOTOC AVE,1,0,0,City of Memphis,False,30.0,2
PODESTA ST,1,0,0,City of Memphis,False,30.0,2
