Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
N EVERGREEN ST,1,1,0,City of Memphis,False,35.0,3
S AVALON ST,1,1,0,City of Memphis,False,35.0,2
DALTON RD,1,1,0,City of Memphis,False,30.0,2
TACOMA AVE,1,1,0,City of Memphis,False,30.0,2
FAIRBROOK AVE,1,1,0,City of Memphis,False,30.0,2
DORADO AVE,1,1,0,City of Memphis,False,30.0,2
BURNHAM AVE,1,1,0,City of Memphis,False,30.0,2
COURTNEY DR,1,1,0,City of Memphis,False,30.0,2
MOUNT HOOD ST,1,1,0,City of Memphis,False,30.0,2
N MENDENHALL RD,1,1,0,City of Memphis,False,40.0,4
MILLBRANCH RD OR NONCONNAH BLVD TO 240 E,1,1,0,City of Memphis,False,45.0,2
ACCESS RD,1,1,0,City of Memphis,False,35.0,1
40 W TO DANNY THOMAS BLVD,1,1,0,TDOT,False,25.0,1
KIRBY WHITTEN RD,1,1,0,City of Memphis,False,45.0,7
A W WILLIS AVE,1,1,0,City of Memphis,False,35.0,5
DALLAS ST,1,1,0,City of Memphis,False,30.0,2
CRUMP RD,1,1,0,City of Memphis,False,30.0,2
INTERSTATE 240 S,1,1,0,City of Memphis,False,65.0,3
HUBBARD AVE,1,1,0,City of Memphis,False,30.0,2
TYROL CT,1,1,0,City of Memphis,False,30.0,2
NEW WILLOW RD,1,1,0,City of Memphis,False,35.0,2
DOVECREST RD,1,1,0,City of Memphis,False,30.0,2
COLLEGE ST,1,1,0,City of Memphis,False,30.0,2
MARYLAND AVE,1,1,0,City of Memphis,False,30.0,2
ALOHA AVE,1,1,0,City of Memphis,False,30.0,2
COTTONWOOD RD,1,1,0,City of Memphis,False,35.0,2
OVERLEA CV,1,0,0,City of Memphis,False,25.0,2
MYERS RD,1,0,0,City of Memphis,False,30.0,2
COMPRESS DR,1,0,1,City of Memphis,False,30.0,2
SAINT AGNES DR,1,0,1,TDOT,False,30.0,2
PLATO AVE,1,0,0,City of Memphis,False,30.0,2
ROCHESTER RD,1,0,0,City of Memphis,False,30.0,2
FARM RD,1,0,0,City of Memphis,False,30.0,2
DURANT ST,1,0,0,City of Memphis,False,30.0,2
MILLINGTON ST,1,0,0,City of Memphis,False,40.0,2
ENGLEWOOD ST,1,0,0,City of Memphis,False,25.0,2
LONGACRE AVE,1,0,0,City of Memphis,False,30.0,2
S LEXINGTON CIR,1,0,0,City of Memphis,False,30.0,2
HARBERT AVE,1,0,0,City of Memphis,False,35.0,2
FARRIS CIR,1,0,0,City of Memphis,False,30.0,2
GILL DR,1,0,0,City of Memphis,False,30.0,2
S COX ST,1,0,0,City of Memphis,False,30.0,2
TULANE RD,1,0,1,TDOT,False,35.0,2
CEDRICK AVE,1,0,0,City of Memphis,False,30.0,2
S B B KING BLVD,1,0,0,TDOT,False,35.0,5
SILVERAGE AVE,1,0,0,City of Memphis,False,30.0,2
PENNEL RD,1,0,0,City of Memphis,False,30.0,2
FREEMAN ST,1,0,0,City of Memphis,False,30.0,2
HUNTER AVE,1,0,0,City of Memphis,False,30.0,2
BARTLETT RD,1,0,0,City of Memphis,False,40.0,2
EASTMAN RD,1,0,0,City of Memphis,False,30.0,2
OLD RALEIGH MILLINGTON RD,1,0,0,City of Memphis,False,45.0,2
CARRIER ST,1,0,0,City of Memphis,False,30.0,2
JUDY LYNN AVE,1,0,0,City of Memphis,False,35.0,2
HAMILTON ST,1,0,1,City of Memphis,False,30.0,2
EYERS RD,1,0,1,City of Memphis,False,30.0,2
DUDLEY ST,1,0,0,City of Memphis,False,30.0,2
FLYNN RD,1,0,0,City of Memphis,False,30.0,2
RALEIGH SPRINGS MALL,1,0,0,City of Memphis,False,,2
WARNER DR,1,0,0,City of Memphis,False,30.0,2
VOLTAIRE AVE,1,0,0,City of Memphis,False,30.0,2
ARLINGTON AVE,1,0,0,City of Memphis,False,30.0,2
TCHULAHOMA RD,1,0,0,City of Memphis,False,35.0,2
MEIER DR,1,0,0,City of Memphis,False,30.0,2
MADISON AVE TO S DANNY THOMAS BLVD,1,0,0,TDOT,False,30.0,2
HART CV,1,0,0,City of Memphis,False,25.0,2
SUNNYSIDE ST,1,0,0,City of Memphis,False,30.0,2
LEHR DR,1,0,0,City of Memphis,False,35.0,2
SUNSET ST,1,0,0,City of Memphis,False,30.0,2
PERES AVE,1,0,0,City of Memphis,False,30.0,2
HUMPHREYS CENTER DR,1,0,1,City of Memphis,False,30.0,2
HEARD AVE,1,0,0,City of Memphis,False,30.0,2
HARAHAN RD,1,0,0,City of Memphis,False,30.0,2
WESTERN PARK DR,1,0,0,City of Memphis,False,30.0,2
COMANCHE RD,1,0,0,TDOT,False,35.0,2
FLOYD ALY,1,0,0,City of Memphis,False,30.0,2
ETHLYN AVE,1,0,0,City of Memphis,False,30.0,2
HAWTHORNE ST,1,0,0,City of Memphis,False,30.0,2
DICKMANN AVE,1,0,0,City of Memphis,False,30.0,2
BELLBRANCH DR,1,0,0,City of Memphis,False,30.0,2
S BARKSDALE ST,1,0,0,City of Memphis,False,30.0,2
PONTOTOC AVE,1,0,0,City of Memphis,False,30.0,2
PODESTA ST,1,0,0,City of Memphis,False,30.0,2
CAMELOT LN,1,0,1,City of Memphis,False,30.0,2
WOODMONT DR,1,0,0,City of Memphis,False,30.0,2
240 E TO 385 E,1,0,0,City of Memphis,False,45.0,2
SEQUOIA AVE,1,0,0,City of Memphis,False,30.0,2
VILLA DR,1,0,0,City of Memphis,False,30.0,2
HILLVIEW AVE,1,0,0,City of Memphis,False,30.0,2
ISLAND DR,1,0,0,City of Memphis,False,30.0,2
HADDINGTON DR,1,0,0,City of Memphis,False,35.0,2
GABAY ST,1,0,0,City of Memphis,False,30.0,2
CHANNEL AVE,1,0,0,City of Memphis,False,40.0,2
JOEL AVE,1,0,1,City of Memphis,False,30.0,2
