MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash
300894406,2023-06-21,2023-06-21 17:47:00,2023,6,Wednesday,17,35.057674,-89.933235,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300891647,2023-06-07,2023-06-07 20:40:00,2023,6,Wednesday,20,35.14941,-89.94455,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300893681,2023-06-18,2023-06-18 00:30:00,2023,6,Sunday,0,35.139973,-90.05351,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300892397,2023-06-11,2023-06-11 03:00:00,2023,6,Sunday,3,35.167816,-89.864105,Suspected Minor Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300892698,2023-06-11,2023-06-11 06:30:00,2023,6,Sunday,6,35.031786,-89.808787,No Injury,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Other,1
300899036,2023-07-15,2023-07-15 11:39:00,2023,7,Saturday,11,35.124573,-90.054924,Suspected Serious Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300897159,2023-07-06,2023-07-06 08:15:00,2023,7,Thursday,8,35.083622,-89.85254,Possible Injury,Pedestrian,Not Intersection-Adjacent to Roadway,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300895751,2023-06-18,2023-06-18 22:10:00,2023,6,Sunday,22,35.056656,-89.906395,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300896267,2023-06-29,2023-06-29 05:00:00,2023,6,Thursday,5,35.16288,-89.94855,Suspected Serious Injury,Pedestrian,Not Intersection-In Parking Lane,AccelDecelLane,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300896546,2023-07-02,2023-07-02 18:11:00,2023,7,Sunday,18,35.109516,-90.03287,No Injury,Pedestrian,Not Intersection-Other Not On Roadway,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Other,1
300899096,2023-07-16,2023-07-16 21:01:00,2023,7,Sunday,21,35.074577,-89.93171,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300899106,2023-07-16,2023-07-16 19:32:00,2023,7,Sunday,19,35.05417,-90.00857,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300897890,2023-07-08,2023-07-08 10:00:00,2023,7,Saturday,10,35.23399,-89.89301,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300897341,2023-07-04,2023-07-04 22:35:00,2023,7,Tuesday,22,35.237103,-89.747909,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection-Related,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300895277,2023-06-23,2023-06-23 21:30:00,2023,6,Friday,21,35.034973,-89.85636,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300898712,2023-07-14,2023-07-14 11:00:00,2023,7,Friday,11,35.14909,-89.88815,Possible Injury,Pedestrian,Intersection-Not on Roadway,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300895064,2023-06-25,2023-06-25 11:40:00,2023,6,Sunday,11,35.104286,-90.0395,Possible Injury,Pedestrian,Not Intersection-Adjacent to Roadway,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300895302,2023-06-26,2023-06-26 13:26:00,2023,6,Monday,13,35.144222,-90.03253,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300896830,2023-07-04,2023-07-04 10:29:00,2023,7,Tuesday,10,35.06469,-89.92145,No Injury,Pedestrian,Intersection-Not on Roadway,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Other,1
300894881,2023-06-23,2023-06-23 20:54:00,2023,6,Friday,20,35.11341,-89.99694,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1
300895017,2023-06-25,2023-06-25 00:53:00,2023,6,Sunday,0,35.10511,-90.055145,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300898226,2023-07-12,2023-07-12 02:50:00,2023,7,Wednesday,2,35.07273,-89.94744,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300896618,2023-07-01,2023-07-01 10:30:00,2023,7,Saturday,10,35.032239,-89.795835,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300897793,2023-07-09,2023-07-09 15:30:00,2023,7,Sunday,15,35.054176,-89.85734,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,4
300898803,2023-07-14,2023-07-14 20:50:00,2023,7,Friday,20,35.006474,-89.98989,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300894928,2023-06-23,2023-06-23 21:10:00,2023,6,Friday,21,35.216553,-89.926605,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300899471,2023-07-18,2023-07-18 18:34:00,2023,7,Tuesday,18,35.19989,-89.95876,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dusk,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300898810,2023-07-14,2023-07-14 00:45:00,2023,7,Friday,0,35.033012,-90.02144,Suspected Serious Injury,Pedestrian,Not Intersection-Unknown,Unknown,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300893801,2023-06-18,2023-06-18 05:56:00,2023,6,Sunday,5,35.137054,-90.0195,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300894679,2023-06-23,2023-06-23 09:10:00,2023,6,Friday,9,35.109966,-90.023994,No Injury,Other Non-Motorist,Unknown,AccelDecelLane,Daylight,Angle,Other,1
300896897,2023-07-04,2023-07-04 18:42:00,2023,7,Tuesday,18,35.031475,-90.00801,Possible Injury,Pedestrian,Not Intersection-Adjacent to Roadway,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300902780,2023-08-03,2023-08-03 22:05:00,2023,8,Thursday,22,35.108753,-89.98411,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300903844,2023-08-08,2023-08-08 15:52:00,2023,8,Tuesday,15,35.243404,-89.94634,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Daylight,Unknown,Other,1
300902017,2023-07-31,2023-07-31 20:20:00,2023,7,Monday,20,35.086636,-90.06302,Unknown,Other Non-Motorist,Unknown,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1
300901100,2023-07-26,2023-07-26 14:06:00,2023,7,Wednesday,14,35.102528,-89.87461,No Injury,Other Non-Motorist,Unknown,OtherLocation,Daylight,Angle,Other,1
300900605,2023-07-22,2023-07-22 23:03:00,2023,7,Saturday,23,35.137165,-90.020584,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300899839,2023-07-20,2023-07-20 09:44:00,2023,7,Thursday,9,35.140484,-89.98288,Possible Injury,Pedestrian,Intersection-Not on Roadway,AccelDecelLane,Daylight,Angle,Other,1
300903891,2023-08-09,2023-08-09 19:52:00,2023,8,Wednesday,19,35.123707,-89.92578,Possible Injury,Pedestrian,Intersection-Unknown,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300903080,2023-08-06,2023-08-06 00:00:00,2023,8,Sunday,0,35.136135,-90.02826,Suspected Serious Injury,Pedestrian,Not Intersection-Unknown,OtherLocation,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900170,2023-07-21,2023-07-21 20:55:00,2023,7,Friday,20,35.06083,-89.99957,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900619,2023-07-24,2023-07-24 08:10:00,2023,7,Monday,8,35.09933,-89.84551,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300878831,2023-04-09,2023-04-09 15:31:00,2023,4,Sunday,15,35.11678,-90.00675,Fatal,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Other,1
