MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Jurisdiction_prev,Seg_OBJECTID,DistToSeg_m
301028225,7/14/2025,7/14/2025 0:42,2025,7,Monday,0,35.090973,-89.966515,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,LAMAR AVE,Principal Arterial,40,5,4,4,2.337784105,LAMAR AVE,0.21351746,40,5,B,MEMPHIS,SHELBY,TDOT,48199,0.21351746
300981903,10/25/2024,10/25/2024 22:50,2024,10,Friday,22,35.217547,-90.003422,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1983.975776,FRAYSER BLVD,0.299649942,40,5,B,MEMPHIS,SHELBY,City of Memphis,49867,0.299649942
301027786,7/10/2025,7/10/2025 22:25,2025,7,Thursday,22,35.13366,-89.95719,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2,TRUE,TDOT state route,WALNUT GROVE RD,Minor Arterial,35,5,23,5,5.104622944,WALNUT GROVE RD,0.456004414,35,5,B,MEMPHIS,SHELBY,TDOT,47022,0.456004414
301013733,4/22/2025,4/22/2025 16:03,2025,4,Tuesday,16,35.185863,-90.03467,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Through Roadway,Daylight,Not Collision with Motor Vehicle in Transport,Other,1,TRUE,TDOT state route,,,,,,,61.72156933,THOMAS ST,61.20430422,35,4,B,MEMPHIS,SHELBY,City of Memphis,46722,61.20430422
301009007,3/28/2025,3/28/2025 20:35,2025,3,Friday,20,35.1619,-89.91725,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1436.188203,WARING RD,9.010040793,35,2,B,MEMPHIS,SHELBY,City of Memphis,73878,9.010040793
300998274,1/25/2025,1/25/2025 20:05,2025,1,Saturday,20,35.0698,-89.90615,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,AccelDecelLane,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,2364.298861,PRIVATE DR,34.62117738,30,2,B,MEMPHIS,SHELBY,City of Memphis,35199,34.62117738
301023804,6/16/2025,6/16/2025 16:36,2025,6,Monday,16,35.137383,-89.99691,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,273.8099262,S TUCKER ST,0.098261459,35,2,B,MEMPHIS,SHELBY,City of Memphis,84420,0.098261459
301021288,6/3/2025,6/3/2025 17:30,2025,6,Tuesday,17,35.206932,-89.894615,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,COVINGTON PIKE,,45,5,204,1,0.247036671,STAGE RD,0.257388042,45,6,B,MEMPHIS,SHELBY,TDOT,48218,0.257388042
301015072,4/30/2025,4/30/2025 1:46,2025,4,Wednesday,1,35.035324,-90.028435,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,298.4364413,E RAINES RD,0.740828219,40,5,B,MEMPHIS,SHELBY,City of Memphis,49712,0.740828219
300884596,5/3/2023,5/3/2023 22:56,2023,5,Wednesday,22,35.14032,-90.042816,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,UNION AVE,Principal Arterial,35,5,3,6,4.759301169,S LAUDERDALE ST,0.227926262,35,2,B,MEMPHIS,SHELBY,TDOT,80581,0.227926262
301015225,4/29/2025,4/29/2025 20:53,2025,4,Tuesday,20,35.111393,-89.94591,Suspected Serious Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1781.734831,CARNES AVE,0.156577726,30,2,B,MEMPHIS,SHELBY,City of Memphis,5694,0.156577726
301013655,4/22/2025,4/22/2025 7:45,2025,4,Tuesday,7,35.086067,-90.04352,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1209.322984,E MALLORY AVE,24.69955997,40,4,B,MEMPHIS,SHELBY,City of Memphis,50870,24.69955997
300998409,1/26/2025,1/26/2025 19:58,2025,1,Sunday,19,35.199635,-89.970535,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,3856.114736,JAMES RD,6.944323259,45,4,B,MEMPHIS,SHELBY,City of Memphis,49938,6.944323259
301008995,3/28/2025,3/28/2025 11:00,2025,3,Friday,11,35.02928,-90.10389,Possible Injury,Pedestrian,Not Intersection-Other Not On Roadway,Non-Junction,Daylight,Angle,Other,1,TRUE,City of Memphis,,,,,,,1726.184235,SHADOWLINE DR,0.245269354,30,2,B,MEMPHIS,SHELBY,City of Memphis,26979,0.245269354
301014935,4/28/2025,4/28/2025 21:01,2025,4,Monday,21,35.047585,-90.05515,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,656.6458299,SOUTHLAND DR,1.990714762,30,2,B,MEMPHIS,SHELBY,City of Memphis,27167,1.990714762
300885046,5/6/2023,5/6/2023 15:30,2023,5,Saturday,15,35.07442,-90.0204,Possible Injury,Pedestrian,Not Intersection-Adjacent to Roadway,Crossover-Related,Daylight,HeadOn,Other,1,TRUE,TDOT state route,ELVIS PRESLEY BLVD,Minor Arterial,40,4,3,6,1.128851214,ELVIS PRESLEY BLVD,0.002062784,40,4,B,MEMPHIS,SHELBY,TDOT,47218,0.002062784
301028211,7/12/2025,7/12/2025 15:00,2025,7,Saturday,15,35.06351,-90.08579,Possible Injury,Pedestrian,Not Intersection-Adjacent to Roadway,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,2,TRUE,City of Memphis,,,,,,,2419.738448,NONCONNAH RD,27.382706,35,2,B,MEMPHIS,SHELBY,City of Memphis,49581,27.382706
301010896,4/7/2025,4/7/2025 15:19,2025,4,Monday,15,35.133526,-90.01683,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,362.2448423,S CLEVELAND ST,0.095299785,35,5,B,MEMPHIS,SHELBY,City of Memphis,80982,0.095299785
301023677,6/16/2025,6/16/2025 20:20,2025,6,Monday,20,35.051144,-89.90897,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,OtherLocation,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1153.400102,WINCHESTER RD,0.114599779,45,7,B,MEMPHIS,SHELBY,City of Memphis,49368,0.114599779
300999434,2/1/2025,2/1/2025 18:55,2025,2,Saturday,18,35.0209,-90.04297,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,E SHELBY DR,Minor Arterial,45,5,175,6,2.681585257,E SHELBY DR,1.964204882,45,5,B,MEMPHIS,SHELBY,TDOT,49687,1.964204882
300915020,10/3/2023,10/3/2023 22:22,2023,10,Tuesday,22,35.149506,-89.961494,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,SUMMER AVE,Principal Arterial,35,5,1,5,4.823484616,SUMMER AVE,0.166813488,35,5,B,MEMPHIS,SHELBY,TDOT,47017,0.166813488
301030240,7/24/2025,7/24/2025 16:59,2025,7,Thursday,16,35.057636,-90.0079,Suspected Serious Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1488.240084,MILLBRANCH RD,48.30201974,45,5,B,MEMPHIS,SHELBY,City of Memphis,49797,48.30201974
301025747,6/28/2025,6/28/2025 20:53,2025,6,Saturday,20,35.15456,-89.94772,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Through Roadway,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,566.7456587,NATIONAL ST,0.007283824,40,4,B,MEMPHIS,SHELBY,City of Memphis,51252,0.007283824
301008011,3/22/2025,3/22/2025 22:07,2025,3,Saturday,22,35.0759,-89.932205,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,,,,,,,57.35011135,GETWELL RD,57.02819504,40,7,B,MEMPHIS,SHELBY,City of Memphis,47387,57.02819504
301007819,3/22/2025,3/22/2025 16:10,2025,3,Saturday,16,35.02889,-90.024475,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,,,,,,,64.65236465,ELVIS PRESLEY BLVD,64.42087263,40,5,B,MEMPHIS,SHELBY,City of Memphis,46494,64.42087263
