MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Seg_OBJECTID,DistToSeg_m,Ownership,Rule_Fired,Classification_Basis,Matched_Street,is_limited_access,is_override,is_corner_case,Jurisdiction_prev
300968447,7/31/2024,7/31/2024 5:45,2024,7,Wednesday,5,35.038504,-89.917171,Fatal,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,LAMAR AVE,Principal Arterial,55.0,2.0,4,3.0,3.536120942,E RAINES RD,0.173655633,40,2,TF,MEMPHIS,SHELBY,52538,0.17365563343091872,City of Memphis,city_residual,city: no state-route overlap,E RAINES RD,False,False,True,City of Memphis
300978520,10/4/2024,10/4/2024 22:18,2024,10,Friday,22,35.107965,-89.966871,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1218.356804,PARK AVE,2.290723687,35,4,B,MEMPHIS,SHELBY,51065,2.29072368723087,City of Memphis,city_residual,city: no state-route overlap,PARK AVE,False,False,False,City of Memphis
301033148,8/8/2025,8/8/2025 23:56,2025,8,Friday,23,35.143787,-90.035126,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,557.6248705,ADAMS AVE,0.014875412,30,2,B,MEMPHIS,SHELBY,3556,0.014875411821618924,City of Memphis,city_residual,city: no state-route overlap,ADAMS AVE,False,False,False,City of Memphis
301032024,8/4/2025,8/4/2025 21:00,2025,8,Monday,21,35.10065,-90.04417,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1040.575779,E DISON AVE,0.067611919,35,2,B,MEMPHIS,SHELBY,4907,0.06761191874732805,City of Memphis,city_residual,city: no state-route overlap,E DISON AVE,False,False,False,City of Memphis
301029922,7/22/2025,7/22/2025 21:14,2025,7,Tuesday,21,35.02085,-89.96364,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,E SHELBY DR,Principal Arterial,45.0,6.0,175,3.0,4.939292729,E SHELBY DR,0.254631177,45,6,B,TENNESSEE AIR NATIONAL GUARD,SHELBY,47833,0.25463117668710744,TDOT state route,state_route_overlap,"state route: 100% overlap, name=E SHELBY",E SHELBY DR,False,False,False,TDOT state route
300997390,1/19/2025,1/19/2025 18:57,2025,1,Sunday,18,35.05229,-89.953426,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Non-Junction,Dark-Lighted,Front to Rear,Other,1,True,,,,,,,1759.297082,WINCHESTER RD,1.688572217,45,7,B,MEMPHIS,SHELBY,52762,1.688572217087804,City of Memphis,city_residual,city: no state-route overlap,WINCHESTER RD,False,False,False,City of Memphis
301033189,8/10/2025,8/10/2025 1:02,2025,8,Sunday,1,35.055305,-89.83002,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Front to Rear,Other,1,True,STATE ROUTE 385,Freeway and Expressway,65.0,3.0,NONCONNAH PKWY,2.0,6.661145049,STATE ROUTE 385 W,3.049179582,65,3,FT,MEMPHIS,SHELBY,47696,3.049179582172957,TDOT state route,state_route_overlap,"state route: 100% overlap, name=STATE ROUTE 385",STATE ROUTE 385 W,False,False,False,TDOT state route
301032519,8/7/2025,8/7/2025 10:12,2025,8,Thursday,10,35.053303,-90.020355,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,427.0344622,ROYAL OAKS CV,62.16074395,35,2,B,MEMPHIS,SHELBY,15075,62.16074395205475,City of Memphis,city_residual,city: no state-route overlap,ROYAL OAKS CV,False,False,False,City of Memphis
301034117,8/16/2025,8/16/2025 0:00,2025,8,Saturday,99,35.13734,-90.02782,Possible Injury,Pedestrian,Intersection-Unknown,Non-Junction,Unknown,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,71.60708276,S PAULINE ST,35.26599261,30,4,B,MEMPHIS,SHELBY,84368,35.26599261077241,City of Memphis,city_residual,city: no state-route overlap,S PAULINE ST,False,False,False,City of Memphis
301032286,8/5/2025,8/5/2025 14:40,2025,8,Tuesday,14,35.133526,-90.026024,Suspected Minor Injury,Pedestrian,Not Intersection-Bike Path,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,S SOMERVILLE ST,Minor Arterial,30.0,2.0,208,6.0,0.260853083,VANCE AVE,0.015517276,30,2,B,MEMPHIS,SHELBY,3681,0.015517276070825103,City of Memphis,city_residual,city: no state-route overlap,VANCE AVE,False,False,False,City of Memphis
