MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Jurisdiction_prev
301069855,2026-03-13,2026-03-13 19:00:00,2026,3,Friday,19,35.01912,-90.04311,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,"Driveway, Alley Access, etc",Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,200.05106766651733,City of Memphis
301025278,2025-06-25,2025-06-25 22:21:00,2025,6,Wednesday,22,35.083027,-89.92271,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1,True,City of Memphis,,,,,,,833.0628298620519,City of Memphis
301069704,2026-03-13,2026-03-13 08:00:00,2026,3,Friday,8,35.075638,-89.92319,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,2,True,City of Memphis,,,,,,,764.5854042948552,City of Memphis
301063435,2026-02-04,2026-02-04 10:15:00,2026,2,Wednesday,10,35.232418,-89.879906,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,False,Suburban-Shelby,,,,,,,,Suburban-Shelby
301074929,2026-04-12,2026-04-12 23:00:00,2026,4,Sunday,23,35.099876,-89.86282,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,275.5332039705707,City of Memphis
301066701,2026-02-23,2026-02-23 22:18:00,2026,2,Monday,22,35.19489,-89.79239,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,N GERMANTOWN PKWY,Principal Arterial,45.0,7.0,177,1.0,0.4098703648635052,TDOT
301073157,2026-04-02,2026-04-02 20:32:00,2026,4,Thursday,20,35.051453,-90.00747,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1604.027423703211,City of Memphis
301072316,2026-03-28,2026-03-28 16:50:00,2026,3,Saturday,16,35.09949,-89.86321,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,324.3276548003746,City of Memphis
301009788,2025-04-01,2025-04-01 21:16:00,2025,4,Tuesday,21,35.14281,-89.95136,Fatal,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,731.4388335741062,City of Memphis
301073793,2026-04-05,2026-04-05 16:34:00,2026,4,Sunday,16,35.104935,-90.04287,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1144.459677128216,City of Memphis
